Aaron Holiday,"$2,346,614",$0,$0,$0
Thanasis Antetokounmpo,"$2,346,614",$0,$0,$0
Mo Bamba,"$2,346,614",$0,$0,$0
Chimezie Metu,"$2,346,614",$0,$0,$0
Patrick Baldwin,"$2,337,720","$2,448,840","$4,420,156","$6,586,033"
TyTy Washington,"$2,320,440","$2,431,080","$4,388,099","$6,582,149"
Jordan McLaughlin,"$2,320,000",$0,$0,$0
Bones Hyland,"$2,306,400","$4,158,439","$6,137,856",$0
Peyton Watson,"$2,303,520","$2,413,560","$4,356,476","$6,534,714"
Cam Thomas,"$2,240,160","$4,041,249","$5,993,172",$0
Vlatko Cancar,"$2,234,359","$2,346,606",$0,$0
Jaden Springer,"$2,226,240","$4,018,363","$5,987,361",$0
Day'Ron Sharpe,"$2,210,040","$3,989,122","$5,983,683",$0
Santiago Aldama,"$2,194,200","$3,960,531","$5,940,797",$0
Oshae Brissett,"$2,165,000","$2,463,946",$0,$0
Jaxson Hayes,"$2,165,000","$2,463,946",$0,$0
Cam Reddish,"$2,165,000","$2,463,946",$0,$0
Darius Bazley,"$2,165,000",$0,$0,$0
Bol Bol,"$2,165,000",$0,$0,$0
Andrew Nembhard,"$2,131,905","$2,019,699","$2,187,451",$0
Kobi Simmons,"$2,066,585",$0,$0,$0
DaQuan Jeffries,"$2,066,585",$0,$0,$0
Isaiah Roby,"$2,066,585",$0,$0,$0
Goga Bitadze,"$2,066,585",$0,$0,$0
Luka Samanic,"$2,066,585",$0,$0,$0
Neemias Queta,"$2,019,706","$2,196,970",$0,$0
Colby Jones,"$2,019,706","$2,120,693","$2,221,677","$2,406,205"
Dalano Banton,"$2,019,706","$2,196,970",$0,$0
Trendon Watford,"$2,019,706",$0,$0,$0
Nate Hinton,"$2,019,706",$0,$0,$0
Duane Washington Jr,"$2,019,706",$0,$0,$0
Sandro Mamukelashvili,"$2,019,706",$0,$0,$0
Jeff Dowtin,"$2,019,706",$0,$0,$0
Garrison Mathews,"$2,000,000","$2,230,253",$0,$0
Jaylin Williams,"$2,000,000","$2,019,699","$2,187,699",$0
Caleb Houstan,"$2,000,000","$2,019,699","$2,187,451",$0
Sam Merrill,"$1,997,238","$2,164,993",$0,$0
Isaiah Joe,"$1,997,238","$2,164,993",$0,$0
Anthony Gill,"$1,997,238",$0,$0,$0
KJ Martin,"$1,930,681",$0,$0,$0
Xavier Tillman,"$1,930,681",$0,$0,$0
Naji Marshall,"$1,930,681",$0,$0,$0
Carlik Jones,"$1,927,896","$2,092,344",$0,$0
Sam Hauser,"$1,927,896","$2,092,344",$0,$0
Jericho Sims,"$1,927,896","$2,092,344",$0,$0
Jordan Goodwin,"$1,927,896","$2,092,344",$0,$0
Ishmail Wainright,"$1,927,896",$0,$0,$0
Kessler Edwards,"$1,927,896",$0,$0,$0
Haywood Highsmith,"$1,902,137",$0,$0,$0
AJ Green,"$1,901,769","$2,120,693","$2,301,587",$0
Jeremiah Robinson-Earl,"$1,900,000","$1,988,598",$0,$0
Vit Krejci,"$1,836,096","$1,988,598",$0,$0
JT Thor,"$1,836,096","$1,988,598",$0,$0
Isaiah Livers,"$1,836,096",$0,$0,$0
BJ Boston,"$1,836,096",$0,$0,$0
Jason Preston,"$1,836,096",$0,$0,$0
Isaiah Todd,"$1,836,096","$1,988,598",$0,$0
Miles McBride,"$1,836,096",$0,$0,$0
Aaron Wiggins,"$1,836,096","$1,988,598",$0,$0
EJ Liddell,"$1,801,769","$2,120,693","$2,301,587",$0
Jack White,"$1,801,769","$2,120,693",$0,$0
Buddy Boeheim,"$1,801,769",$0,$0,$0
Stanley Umude,"$1,801,769",$0,$0,$0
Jeenathan Williams,"$1,801,769",$0,$0,$0
Orlando Robinson,"$1,801,769","$2,120,693",$0,$0
Leonard Miller,"$1,800,000","$1,891,857","$2,221,677","$2,406,205"
Bryce McGowens,"$1,719,864","$2,019,699","$2,187,699",$0
Jaden Hardy,"$1,719,864","$2,019,699",$0,$0
Kennedy Chandler,"$1,719,864","$2,019,699","$2,187,699",$0
Kenneth Lofton,"$1,719,864","$2,019,699","$2,187,699",$0
Josh Minott,"$1,719,864","$2,019,699","$2,187,699",$0
Jabari Walker,"$1,719,864","$2,019,699",$0,$0
Christian Koloko,"$1,719,864","$2,019,699",$0,$0
Xavier Cooks,"$1,719,864","$2,019,699","$2,187,451",$0
Ryan Rollins,"$1,719,864","$2,019,699",$0,$0
Max Christie,"$1,719,864",$0,$0,$0
Jalen Pickett,"$1,708,143","$1,891,857","$2,221,677","$2,406,205"
Julian Phillips,"$1,600,000","$1,891,857","$2,221,677","$2,406,205"
