Anthony Carter,"$1,147,533 ","$1,553,945 "
Lindsey Hunter,"$1,143,473 ","$1,548,447 "
Michael Ruffin,"$1,141,838 ","$1,546,233 "
Sean Marks,"$1,141,838 ","$1,546,233 "
Ryan Bowen,"$1,141,838 ","$1,546,233 "
Jamaal Magloire,"$1,141,838 ","$1,546,233 "
Kosta Koufos,"$1,129,320 ","$1,529,282 "
Rudy Fernandez,"$1,084,080 ","$1,468,020 "
Morris Almond,"$1,081,440 ","$1,464,445 "
Ime Udoka,"$1,080,000 ","$1,462,495 "
Jordan Farmar,"$1,080,000 ","$1,462,495 "
Sergio Rodriguez,"$1,048,800 ","$1,420,245 "
Aaron Brooks,"$1,045,560 ","$1,415,857 "
Maurice Ager,"$1,042,440 ","$1,411,632 "
Nicolas Batum,"$1,040,640 ","$1,409,195 "
Mardy Collins,"$1,034,760 ","$1,401,232 "
Arron Afflalo,"$1,015,440 ","$1,375,070 "
Ian Mahinmi,"$1,009,200 ","$1,366,620 "
George Hill,"$1,006,200 ","$1,362,557 "
Alando Tucker,"$1,001,880 ","$1,356,708 "
Juan Dixon,"$998,398 ","$1,351,992 "
Melvin Ely,"$998,398 ","$1,351,992 "
Devin Brown,"$998,398 ","$1,351,992 "
Mike Wilks,"$998,398 ","$1,351,992 "
Chris Andersen,"$998,398 ","$1,351,992 "
Darrell Arthur,"$977,160 ","$1,323,233 "
Chris Quinn,"$972,581 ","$1,317,032 "
Ryan Hollins,"$972,581 ","$1,317,032 "
Donte Greene,"$971,160 ","$1,315,108 "
DJ White,"$964,080 ","$1,305,520 "
JR Giddens,"$957,120 ","$1,296,095 "
Matt Barnes,"$926,678 ","$1,254,872 "
Kareem Rush,"$926,678 ","$1,254,872 "
Dahntay Jones,"$926,678 ","$1,254,872 "
Keith McLeod,"$926,678 ","$1,254,872 "
Yakhouba Diawara,"$875,000 ","$1,184,891 "
Royal Ivey,"$854,957 ","$1,157,750 "
Quinton Ross,"$854,957 ","$1,157,750 "
Josh Powell,"$854,957 ","$1,157,750 "
Gerald Green,"$854,957 ","$1,157,750 "
Shavlik Randolph,"$826,269 ","$1,118,902 "
Stephen Graham,"$826,269 ","$1,118,902 "
Von Wafer,"$826,269 ","$1,118,902 "
James Singleton,"$826,269 ","$1,118,902 "
Brandon Bass,"$826,269 ","$1,118,902 "
Jake Voskuhl,"$826,153 ","$1,118,745 "
Joey Dorsey,"$816,500 ","$1,105,673 "
Kyrylo Fesenko,"$810,000 ","$1,096,871 "
Kyle Weaver,"$806,452 ","$1,092,066 "
Paul Millsap,"$797,581 ","$1,080,054 "
Juaquin Hawkins,"$797,581 ","$1,080,054 "
Shannon Brown,"$797,581 ","$1,080,054 "
Cheikh Samb,"$797,581 ","$1,080,054 "
Steve Novak,"$797,581 ","$1,080,054 "
Tarence Kinsey,"$797,581 ","$1,080,054 "
Anthony Roberson,"$797,581 ","$1,080,054 "
Leon Powe,"$797,581 ","$1,080,054 "
Solomon Jones,"$797,581 ","$1,080,054 "
Randolph Morris,"$797,581 ","$1,080,054 "
Dikembe Mutombo,"$794,491 ","$1,075,869 "
Jeremy Richardson,"$769,431 ","$1,041,934 "
Luc Mbah a Moute,"$757,000 ","$1,025,100 "
Ramon Sessions,"$722,517 ","$978,405 "
Dominic McGuire,"$711,517 ","$963,509 "
Willie Solomon,"$711,517 ","$963,509 "
Marcin Gortat,"$711,517 ","$963,509 "
Joel Anthony,"$711,517 ","$963,509 "
Jamario Moon,"$711,517 ","$963,509 "
Alex Acker,"$711,517 ","$963,509 "
Josh McRoberts,"$711,517 ","$963,509 "
CJ Watson,"$711,517 ","$963,509 "
Will Bynum,"$711,517 ","$963,509 "
Aaron Gray,"$711,517 ","$963,509 "
Glen Davis,"$711,517 ","$963,509 "
Gabe Pruitt,"$711,517 ","$963,509 "
